name,website,industry,founded,size_range,linkedin_url
serra stone corp,serrastone.com,construction,,1 - 10,linkedin.com/company/serra-stone-corp
kettle creations,kettlecreations.net,food production,,11 - 50,linkedin.com/company/kettle-creations
echo newspaper,echoads.com,media production,,1 - 10,linkedin.com/company/echo-newspaper-llc
www.cad-steel.co.uk,cad-steel.co.uk,design,2010.0,1 - 10,linkedin.com/company/www-cad-steel-co-uk
omni staffing services inc.,omnistaffingservices.com,hospital & health care,1998.0,11 - 50,linkedin.com/company/omni-staffing-services-inc-
rt-utvikling,rt-web.no,computer software,,1 - 10,linkedin.com/company/rt-utvikling
mercury printing,mercuryprintingco.com,printing,,11 - 50,linkedin.com/company/mercury-printing
agnis,agnis.com.br,human resources,2002.0,11 - 50,linkedin.com/company/agnis
cryptozoic entertainment,cryptozoic.com,entertainment,2010.0,51 - 200,linkedin.com/company/cryptozoic-entertainment
estudio buenas ideas,estudiobi.com.ar,design,,1 - 10,linkedin.com/company/estudio-buenas-ideas
"home oxygen company, inc",homeoxygencompany.com,medical devices,2007.0,1 - 10,linkedin.com/company/home-oxygen-company-llc
oro interior & architecture,orodesign.com.au,architecture & planning,2004.0,1 - 10,linkedin.com/company/oro-interior-&-architecture
zerowater,zerowater.com,consumer goods,2003.0,1 - 10,linkedin.com/company/zerowater
yosauce,yosauce.com,information technology and services,2016.0,1 - 10,linkedin.com/company/yosauce
pastel recordings,wearepastel.com,music,2011.0,1 - 10,linkedin.com/company/pastel-recordings
universal property agents,universalpropertyagents.com,real estate,2014.0,1 - 10,linkedin.com/company/universal-property-agents
kathleen's 5 rooftop restaurant,kathleens5.com,hospitality,,1 - 10,linkedin.com/company/kathleen's-5-rooftop-restaurant
cargo direct international ltd,cargodirectinternational.com,transportation/trucking/railroad,2015.0,1 - 10,linkedin.com/company/cargodirectinternationalltd
sushi rocks,sushirockohio.com,food & beverages,,1 - 10,linkedin.com/company/sushi-rocks
virtumed 360,virtumed360.com,hospital & health care,2017.0,1 - 10,linkedin.com/company/virtumed360
cio servicios,cioservicios.com,computer software,2013.0,1 - 10,linkedin.com/company/cio-servicios
interior wall systems,interiorwalls.com,construction,,1 - 10,linkedin.com/company/interior-wall-systems
magna products corp,magnaproducts.com,industrial automation,1968.0,1 - 10,linkedin.com/company/magna-products-corp
asmech systems ltd,asmechsystems.co.uk,mechanical or industrial engineering,1995.0,11 - 50,linkedin.com/company/asmech-systems-ltd
siteloom aps,siteloom.dk,internet,2001.0,1 - 10,linkedin.com/company/siteloom-aps
zapstore (p) ltd.,zapstore.com,retail,2011.0,1 - 10,linkedin.com/company/zapstore-p-ltd-
verwijnerij.nl,verwijnerij.nl,wine and spirits,,1 - 10,linkedin.com/company/verwijnerij.nl
cps parking,cobol-works.de,,,1 - 10,linkedin.com/company/cps-parking
women identity purpose organization,scscharlottesville.com,non-profit organization management,,1 - 10,linkedin.com/company/women-identity-purpose-organization
hyena editorial,hyenaedit.com,marketing and advertising,,1 - 10,linkedin.com/company/hyena-editorial-inc
g. beamish architect.,gbeamish-architect.com,architecture & planning,,1 - 10,linkedin.com/company/g.-beamish-architect.
"just cruises and tours, inc.",justcruisesandtours.com,hospitality,,1 - 10,linkedin.com/company/just-cruises-tours
masterlab.com,masterlab.com,entertainment,1995.0,11 - 50,linkedin.com/company/masterlab.com
the imagine sisters movement,imaginesisters.org,religious institutions,2012.0,1 - 10,linkedin.com/company/the-imagine-sisters-movement
unthank school of writing,unthankschool.com,writing and editing,2011.0,1 - 10,linkedin.com/company/unthank-school-of-writing
typeworks,etypeworks.com,graphic design,,1 - 10,linkedin.com/company/typeworks
builders & developers,wudbay.com,furniture,2012.0,1 - 10,linkedin.com/company/builders-developers
trigon defense training,trigondt.com,"health, wellness and fitness",2010.0,1 - 10,linkedin.com/company/trigon-defense-training
polmedia,polmedia.co.uk,internet,,1 - 10,linkedin.com/company/polmedia
hitchery,hitchery.com,computer software,2010.0,1 - 10,linkedin.com/company/hitchery
horizon animal hospital,horizonanimalhospital.com,veterinary,,11 - 50,linkedin.com/company/horizon-animal-hospital
donselaar tenten,tentenhuur.com,events services,2008.0,11 - 50,linkedin.com/company/donselaar-tenten-bv
bowman real estate,bowmanandgraham.com.au,real estate,,1 - 10,linkedin.com/company/bowman-real-estate
risas dental and braces,risasdental.com,medical practice,2011.0,51 - 200,linkedin.com/company/risas-dental-and-braces
trance telecom inc,trancetele.com,telecommunications,,1 - 10,linkedin.com/company/trance-telecom-inc
farhi holdings corporation,fhc.ca,real estate,,1 - 10,linkedin.com/company/farhi-holdings-corporation
yaskworld,yaskworld.com,furniture,2004.0,1 - 10,linkedin.com/company/yaskworld
finuvo,finuvo.io,consumer goods,2015.0,1 - 10,linkedin.com/company/finuvo
balnea airspa @ montreal-trudeau,blueprintworkshop.co.uk,"health, wellness and fitness",,1 - 10,linkedin.com/company/balnea-airspa-montreal-trudeau
bernhauser bank eg,bernhauser-bank.de,airlines/aviation,,1 - 10,linkedin.com/company/bernhauser-bank-eg
mariner uno srl,marineruno.com,food production,,1 - 10,linkedin.com/company/mariner-uno-srl
wenzhou-kean university,wku.edu.cn,higher education,,11 - 50,linkedin.com/company/wenzhou-kean-university
mairie de préfailles,prefailles.fr,government administration,,1 - 10,linkedin.com/company/mairie-de-pr-failles
arqha,arqha.ch,,,1 - 10,linkedin.com/company/arqha
brian johnston,brianjohnsonracing.com,insurance,,1 - 10,linkedin.com/company/brian-johnston
metos instruments india pvt. ltd,metos.in,,,1 - 10,linkedin.com/company/metos-instruments-india-pvt-ltd
loved1,giveloved1.com,"health, wellness and fitness",,1 - 10,linkedin.com/company/loved1
real engineering d.o.o.,real-eng.si,,,1 - 10,linkedin.com/company/real-engineering-d-o-o-
dog gone lovely,doggonelovely.com,consumer services,,1 - 10,linkedin.com/company/dog-gone-lovely
watch review blog,watchreviewblog.com,media production,2015.0,1 - 10,linkedin.com/company/watchreviewblog
obcs,obcs.us,information technology and services,2005.0,1 - 10,linkedin.com/company/obcs
outburst media,outburstmedia.net,marketing and advertising,2012.0,1 - 10,linkedin.com/company/ouburst-media
r.s exclusive,rs-exclusive.com,events services,2005.0,1 - 10,linkedin.com/company/rs-exclusive-llc
proyecto de puesta en marcha del hospital,sacsc.com.ar,hospital & health care,,11 - 50,linkedin.com/company/proyecto-de-puesta-en-marcha-del-hospital
enjoy branding,enjoybranding.nl,design,2017.0,1 - 10,linkedin.com/company/enjoy-branding
inmediatech,inmediatech.net,information technology and services,2008.0,1 - 10,linkedin.com/company/inmediatech
dhv accountancy b.v.,dhvaccountancy.nl,accounting,2006.0,11 - 50,linkedin.com/company/dhv-accountancy-b-v-
california association of health plans,calhealthplans.org,political organization,,11 - 50,linkedin.com/company/california-association-of-health-plans
apt security systems (part of apt controls group),aptcontrols.co.uk,security and investigations,,11 - 50,linkedin.com/company/apt-controls-group
johnsons shoes,mylocalshoeshop.co.uk,apparel & fashion,1952.0,11 - 50,linkedin.com/company/johnsons-bowleys
right time recursos humanos,righttime.com.br,staffing and recruiting,1997.0,11 - 50,linkedin.com/company/right-time-recursos-humanos
unicri - united nations interregional crime and justice research institute,unicri.it,international affairs,1965.0,51 - 200,linkedin.com/company/unicri
one team advisory,oneteamadvisory.co.uk,management consulting,2012.0,1 - 10,linkedin.com/company/one-team-advisory
hyperactive,hyperactive.to,,,1 - 10,linkedin.com/company/hyperactive-inc.
novir data integration gmbh,novirdata.com,computer & network security,,1 - 10,linkedin.com/company/novir-data-integration-gmbh
9 yards marketing,9yardsmarketing.com.au,marketing and advertising,2013.0,1 - 10,linkedin.com/company/9-yards-marketing
pmp promec,pmp-promec.it,machinery,,11 - 50,linkedin.com/company/pmp-promec
eckman consulting & management,eckmancm.com,management consulting,2008.0,1 - 10,linkedin.com/company/eckman-consulting-&-management
global graphic,global-graphic.com,marketing and advertising,2001.0,11 - 50,linkedin.com/company/global-graphic
"stephens, anderson & cummings, llp",stephensanderson.com,law practice,,1 - 10,linkedin.com/company/stephens-anderson-&-cummings-llp
whole health dentistry,wholehealthdentistry.com,"health, wellness and fitness",,1 - 10,linkedin.com/company/whole-health-dentistry
hairy lemon promotions limited,hlpromotions.co.uk,events services,,1 - 10,linkedin.com/company/hairy-lemon-promotions-limited
viewly,view.ly,computer software,2017.0,1 - 10,linkedin.com/company/view-ly
nwtechnic,nwtechnic.com,airlines/aviation,,1 - 10,linkedin.com/company/nwtechnic
pathways college,pathwayscollegenorwich.co.uk,education management,,1 - 10,linkedin.com/company/pathways-college
tendentz,tendentz.dk,marketing and advertising,,1 - 10,linkedin.com/company/tendentz
a4 sicurezza,a4sicurezza.it,security and investigations,1985.0,1 - 10,linkedin.com/company/a4sicurezza
one common heart,onecommonheart.org,education management,2015.0,1 - 10,linkedin.com/company/one-common-heart
framedealer,framedealer.it,media production,2005.0,1 - 10,linkedin.com/company/framedealer
eurocity insurance co.ltd,eurocityinsurance.com,,,1 - 10,linkedin.com/company/eurocity-insurance-co-ltd
damiana dolce,damianadolce.ca,entertainment,,1 - 10,linkedin.com/company/damiana-dolce
previous history,iowerks.us,information technology and services,,1 - 10,linkedin.com/company/iowerks
compubase,compubase.ae,information technology and services,,11 - 50,linkedin.com/company/compubase_2
corr instruments,corrinstruments.com,mechanical or industrial engineering,,1 - 10,linkedin.com/company/corr-instruments
coneca inc.,coneca.com,accounting,,1 - 10,linkedin.com/company/coneca-inc-
atc careers (work experience program),atccareers.com.au,human resources,2014.0,11 - 50,linkedin.com/company/atc-careers
công ty cổ phần dược phẩm việt nam,vnapharm.com,pharmaceuticals,,1 - 10,linkedin.com/company/công-ty-cổ-phần-dược-phẩm-việt-nam
young & franklin,yf.com,industrial automation,1918.0,11 - 50,linkedin.com/company/young-&-franklin
flowmundo,flowmundo.nl,human resources,2017.0,1 - 10,linkedin.com/company/flowmundo
gladstone home loans,gladstonehomeloans.com.au,financial services,2006.0,1 - 10,linkedin.com/company/gladstone-home-loans
junc design and communications,junc.co.uk,graphic design,2000.0,1 - 10,linkedin.com/company/junc-design-and-communications
dekker betonlab bv,betonlaboratorium.nl,construction,2003.0,1 - 10,linkedin.com/company/dekker-betonlab-bv
rappahannock record,rrecord.com,newspapers,1916.0,1 - 10,linkedin.com/company/rappahannock-record
basketballvereniging arnhem eagles,arnhemeagles.nl,non-profit organization management,,1 - 10,linkedin.com/company/basketballvereniging-arnhem-eagles
gatelogix,gatelogix.com,information technology and services,2008.0,11 - 50,linkedin.com/company/gatelogix
brandmarkconsultants,brandmarkconsultants.com,marketing and advertising,2012.0,1 - 10,linkedin.com/company/brandmarkconsultants
atlas group advisors,atlasgroupadvisors.com,consumer services,2015.0,1 - 10,linkedin.com/company/atlas-group-advisors
mobipower,mobipower.fr,information services,2010.0,1 - 10,linkedin.com/company/mobipower
beauty atelier,beautyatelier.com.au,cosmetics,2013.0,1 - 10,linkedin.com/company/beauty-atelier
user experience professionals association (uxpa) dc metro chapter,uxpadc.org,non-profit organization management,,1 - 10,linkedin.com/company/user-experience-professionals-association-uxpa-dc-metro-chapter
kayzen group,kayzengroup.com,management consulting,2014.0,1 - 10,linkedin.com/company/kayzen-group
grifon media doo,grifonmedia.rs,marketing and advertising,,1 - 10,linkedin.com/company/grifon-media-doo
trainmenow ltd,trainmenow.org,human resources,,1 - 10,linkedin.com/company/trainmenow-ltd
shadowbox learning services,shadowbox.ca,information technology and services,,1 - 10,linkedin.com/company/shadowbox-learning-services
tidycave,tidycave.com,internet,2018.0,1 - 10,linkedin.com/company/tidy-cave
in my sewing room,inmysewingroom.com,arts and crafts,,1 - 10,linkedin.com/company/in-my-sewing-room
"ase marketing group, inc.",asemarketing.com,financial services,,1 - 10,linkedin.com/company/ase-marketing-group-llc
ddmg communications,ddmg.ca,public relations and communications,2007.0,11 - 50,linkedin.com/company/ddmg-communications
hitchphilly,hitchphilly.com,individual & family services,2016.0,1 - 10,linkedin.com/company/hitchphilly
irish grid solutions,gridsolutions.ie,renewables & environment,2008.0,1 - 10,linkedin.com/company/irish-grid-solutions
statewide consulting and finance,statewideconsulting.com.au,financial services,,1 - 10,linkedin.com/company/statewide-consulting-and-finance
baucom's nursery,baucomsnursery.com,wholesale,,11 - 50,linkedin.com/company/baucom's-nursery
btomail,btomail.it,marketing and advertising,2014.0,1 - 10,linkedin.com/company/btomail
palmiye tohumculuk (authorized seed trade company),palmiyetohumculuk.com,farming,1995.0,1 - 10,linkedin.com/company/palmiye-tohumculuk-authorized-seed-trade-company-
22by4 consulting pvt. ltd.,22by4.com,internet,2013.0,1 - 10,linkedin.com/company/22-4
infirst healthcare,infirst.co.uk,pharmaceuticals,2012.0,11 - 50,linkedin.com/company/infirst-healthcare
